QuestionNumber,FinalQuestion,GeneratedAnswerOptions,CorrectAnswer,Explanation
Q13,"You have a table in an Azure Synapse Analytics dedicated SQL pool. The table was created by using the following Transact-SQL statement. CREATE TABLE [dbo] . [DimEmployee] ( [EmployeeKey] [int] IDENTITY(1,1) NOT NULL, You need to alter the table to meet the following [EmployeeID] [int] NOT NULL, requirements: [FirstName] [varchar] (100) NOT NULL, c® Ensure that users can identify the current (LastName] [varchar] (100) NOT NULL, © Support creating an employee reporting é : ! [StreetAddress] [varchar] (500) NOT NULL, hierarchy for your entire company. [City] [varchar] (200) NOT NULL, c® Provide fast lookup of the managers’ [StateProvince] [varchar] (50) NOT NULL, attributes such as name and job title. [Portalcode] [varchar] (10) NOT NULL Which column should you add to the table? )","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q14,"You need to transfer large amounts of key-value data to Azure for further processing and analysis and are reviewing the range o data storage and transfer methods to find which one best suits your use case. Here are the key factors to consider: 1.You will be gathering roughly 25 TBs of key-value data a month to be batched in once on a monthly basis. 2.The source data is gathered from multiple loT sensors and stored on a local on-premise data drive. 3.You are managing the data transfer yourself, for a small university study, and have little experience in managing data flow. 4.Your current network bandwidth is 1 Gbps. 5.The data will need minimal reformatting before you upload and perform SQL queries in Azure Synapse Analytics. You have identified Azure blob storage as the best destination for the initial upload of raw data. What service should you use to batch the data into Azure storage, given the above criteria? . Azure Data Factory . Azure Data Box . Azure Storage REST APIs AzCopy DOm>r Pm Plo  15:59/3:02:47 ","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q15,You have two Azure Storage accounts named Storage1 and Storage2. Each account holds one container and has the hierarchical namespace enabled. The system has files that contain data stored in the Apache Parquet format. You need to copy folders and files from Storage’ to Storage2 by using a Data Factory copy activity. The solution must meet the following requirements: c® No transformations must be performed. c® The original folder structure must be retained. © Minimize time required to perform the copy activity. How should you configure the copy activity?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q16,You plan to implement an Azure Data Lake Gen 2 storage account. You need to ensure that the data lake will remain available if a data center fails in the primary Azure region. The solution must minimize costs. Which type of replication should you use for the storage account?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q17,You have a SQL pool in Azure Synapse. You plan to load data from Azure Blob storage to a staging table. Approximately 1 million rows of data will be loaded daily. The table will be truncated before each daily load. You need to create the staging table. The solution must minimize how long it takes to load the data to the staging table. How should you configure the table?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q18,"You are currently managing a company's Azure storage account. A best practice is to ensure that the keys associated with the storage account are frequently rotated. Which of the following methods is recommended when working with regeneration of storage keys, especially when you have applications dependent on those keys for data storage?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q19,"You are designing a fact table named FactPurchase in an Azure Synapse Analytics dedicated SQL pool. The table contains purchases from suppliers for a retail store. FactPurchase will contain the following columns. FactPurchase will have 1 million rows of data added daily and will contain three years of data. Transact-SQL queries similar to the following query will be executed daily. SELECT - SupplierKey, StockltemKey, IsOrderFinalized, COUNT(*) FROM FactPurchase - WHERE DateKey >= 20210101 - AND DateKey <= 20210131 - GROUP By SupplierKey, StockItemKey, IsOrderFinalized Which table distribution will minimize query times?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q20,You have an Azure Storage account that contains 100 GB of files. The files contain rows of text and numerical values. 75% of the rows contain description data that has an average length of 1.1 MB. You plan to copy the data from the storage account to an enterprise data warehouse in Azure Synapse Analytics. You need to prepare the files to ensure that the data copies quickly. Solution: You convert the files to compressed delimited text files. Does this meet the goal? ,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q21,"You are configuring data security settings for separate Azure SQL databases. Database A stores social security numbers, which you want to prevent any users or applications from viewing. The social security numbers appear in one column within a single table of Database","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q22,You have an Azure Storage account that contains 100 GB of files. The files contain rows of text and numerical values. 75% of the rows contain description data that has an average length of 1.1 MB. You plan to copy the data from the storage account to an enterprise data warehouse in Azure Synapse Analytics. You need to prepare the files to ensure that the data copies quickly. Solution: You modify the files to ensure that each row is more than 1 MB. Does this meet the goal?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q23,You build a data warehouse in an Azure Synapse Analytics dedicated SQL pool. Analysts write a complex SELECT query that contains multiple JOIN and CASE statements to transform data for use in inventory reports. The inventory reports will use the data and additional WHERE parameters depending on the report. The reports will be produced once daily. You need to implement a solution to make the dataset available for the reports. The solution must minimize query times. What should you implement?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q24,"While configuring a data workflow, you are deciding how to load data into an Azure Synapse Analytics staging table. You would like the data to load into the staging table as quickly as possible. Which distribution type(s) would be optimal for this scenario? Round Robin Replicated Either Round Robin or Hash-Distributed Either Replicated or Hash-Distributed SOmPr ","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q25,"You have an Azure Synapse Analytics workspace named WS1 that contains an Apache Spark pool named Pool1. You plan to create a database named DB1 in Pool1. You need to ensure that when tables are created in DB1, the tables are available automatically as external tables to the built-in serverless SQL pool. Which format should you use for the tables in DB1?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q26,You are planning a solution to aggregate streaming data that originates in Apache Kafka and is output to Azure Data Lake Storage Gen2. The developers who will implement the stream processing solution use Java. Which service should you recommend using to process the streaming data?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q27,"You store files in an Azure Data Lake Storage Gen2 container. The container has the storage policy shown in the following exhibit. Use the drop-down menus to select the answer choice that completes each statement based on the information presented in the graphic. NOTE: Each correct selection is worth one point. ‘Answer Area “rules”: [ “enabled”: true, “contosorule”, “daysAfterCreationGreaterThan”: 60 ) “baseBlob”: ( “tierToCool”: { “daysAfterModi ficationGreaterThan”: 30 , “filters”: { “blobTypes” “blockBlob” ‘The files are [answer choice] after 30 days: v 1, “prefixMatch”: [ “container1/contoso” ","A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q28,"You plan to use a U-SQL script within Azure Data Factory (ADF) to transform data in an Azure Storage blob container, then load the transformed data into an Azure Synapse Analytics table. You want to manage the entire data flow within a single schedule. Which choice below is the most reasonable option to correctly complete the task?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q29,"You are designing a financial transactions table in an Azure Synapse Analytics dedicated SQL pool. The table will have a clustered columnstore index and will include the following columns: c® TransactionType: 40 million rows per transaction type c> CustomerSegment: 4 million per customer segment © TransactionMonth: 65 million rows per month © AccountType: 500 million per account type. You have the following query requirements: c Analysts will most commonly analyze transactions for a given month. > Transactions analysis will typically summarize transactions by transaction type, customer segment, and/or account type You need to recommend a partition strategy for the table to minimize query times. On which column should you recommend partitioning the table?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q30,You have an Azure Data Lake Storage Gen2 account named account! that stores logs as shown in the following table. Type | Designated retention period You do not expect that the logs will be accessed during the retention Application [360 days periods. Infrastructure [60 days You need to recommend a solution for account! that meets the following requirements: c® Automatically deletes the logs at the end of each retention period ~ Minimizes storage costs What should you include in the recommendation?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q31,"You plan to ingest streaming social media data by using Azure Stream Analytics. The data will be stored in files in Azure Data Lake Storage, and then consumed by using Azure Databricks and PolyBase in Azure Synapse Analytics. You need to recommend a Stream Analytics data output format to ensure that the queries from Databricks and PolyBase against the files encounter the fewest possible errors. The solution must ensure that the files can be queried quickly and that the data type information is retained. What should you recommend?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q32,You have an Azure Synapse Analytics dedicated SQL pool named Pool1. Pool! contains a partitioned fact table named dbo.Sales and a staging table named stg.Sales that has the matching table and partition definitions. You need to overwrite the content of the first partition in dbo.Sales with the content of the same partition in stg.Sales. The solution must minimize load times. What should you do?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q33,"You are outlining the disaster recovery plan for your Azure SQL databases using active geo-replication. You plan to deploy your primary and secondary databases in different regions, to ensure greater availability in the event of a regional failure Both your primary and secondary databases’ firewalls should allow the same client IP address ranges, so that in the event the primary database fails the re-routed client-requests will successfully reach the secondary database. However, you do not want to allow more traffic than necessary to these or other databases in your production environment. What design choice below is recommended by Azure to ensure client requests are successfully received in the event of an unplanned failover?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q34,You have a Microsoft SQL Server database that uses a third normal form schema. You plan to migrate the data in the database to a star schema in an Azure Synapse Analytics dedicated SQL pool. You need to design the dimension tables. The solution must optimize read operations. What should you include in the solution?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q35,You plan to develop a dataset named Purchases by using Azure Databricks. Purchases will contain the following columns: c® ProductID c® ItemPrice ce LineTotal c® Quantity > StorelD c® Minute c® Month ce Hour ce Year - c® Day You need to store the data to support hourly incremental load pipelines that will vary for each Store ID. The solution must minimize storage costs. How should you complete the code?,"A. Use Azure Data Factory, B. Use Azure Stream Analytics, C. Use Azure Functions, D. Use Azure Event Grid",A. Use Azure Data Factory,Azure Data Factory is the best tool for managing and automating data pipelines for transformation and ingestion.
Q36,"You are designing a partition strategy for a fact table in an Azure Synapse Analytics dedicated SQL pool. The table has the following specifications: c® Contain sales data for 20,000 products. Use hash distribution on a column named ProductID. c® Contain 2.4 billion records for the years 2019 and 2020. Which number of partition ranges provides optimal compression and performance for the clustered columnstore index?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q37,"You are managing a large relational database on SQL Server on Azure VM that is running SQL Server version 2017. This database needs to be joined with an external Hadoop data source, and then you must query both data sources using T-SQL. You have decided to implement Polybase to accomplish this task, but your query attempts using Polybase generate an error. What could have caused the implementation to fail? The SQL Server on Azure VM database exceeds the maximum possible row size of 32 KB. SQL Server 2017 does not support Polybase queries of Hadoop sources with T-SQL. Data should be migrated from the external Hadoop source to the database before using Polybase.","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q38,"You are creating dimensions for a data warehouse in an Azure Synapse Analytics dedicated SQL pool. You create a table by using the Transact-SQL statement shown in the following exhibit. CREATE TABLE [DBO] . [DimProduct] ( Use the drop-down menus to select the answer choice that eee a fieer aon ead NOT NULL, oduct Source ini 7 completes each statement based on the information presented in [ProductName] [nvarchar] (100) NOT NULL, the graphic. [ProductNumber] [nvarchar] (25) NOT NULL, NOTE: Each correct selection is worth one point. [Color] [nvarchar] (15) NULL, [Size] [nvarchar] (5) NULL, (Weight] [decimal] (8, 2) NULL, (ProductCategory] [nvarchar] (100) NULL, [SellStartDate] [date] NOT NULL, [SellEndDate] [date] NULL, [RowInsertedDateTime] [datetime] NOT NULL, [RowUpdatedDateTime] [datetime] NOT NULL, (ETLAuditID] [int] NOT NULL Answer Area DimProduct is @ fanswer choice] slowly changing dimension (SCD). v ","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q39,"You are designing a fact table named FactPurchase in an Azure Synapse Analytics dedicated SQL pool. The table contains purchases from suppliers for a retail store. FactPurchase will contain the following columns. FactPurchase will have 1 million rows of data added daily and will contain three years of data. Transact-SQL queries similar to the following query will be executed daily. SELECT - SupplierKey, StockltemKey, COUNT(*) FROM FactPurchase - WHERE DateKey >= 20210101 - AND DateKey <= 20210131 - GROUP By SupplierKey, StockltemKey Which table distribution will minimize query times?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q40,You need to build a solution to ensure that users can query specific files in an Azure Data Lake Storage Gen2 account from an Azure Synapse Analytics serverless SQL pool. Which three actions should you perform in sequence?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q41,"You are configuring an Azure SQL database with geo-replication enabled, and now want to configure Azure SQL Database auditing to monitor database events and ensure compliance. While the majority of databases on the Azure SQL database instance will focus on managing application data, one database will focus on processing environment logs as a way to maximize resource costs. The logs database's events will be very different from the other databases’ events. The primary issue is auditing event types or categories for a specific database that differ from the rest of the databases on the server. What is the most effective way to enable auditing for this Azure SQL Database?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q42,"You are designing a data mart for the human resources (HR) department at your company. The data mart will contain employee information and employee transactions. From a source system, you have a flat extract that has the following fields: c® EmployeelD ce FirstName ce LastName c® Recipient c® GrossAmount c® TransactionID c® GovernmentID c> NetAmountPaid c® TransactionDate You need to design a star schema data model in an Azure Synapse Analytics dedicated SQL pool for the data mart. Which two tables should you create? Each correct answer presents part of the solution. NOTE: Each correct selection is worth one point.","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q43,You are designing a dimension table for a data warehouse. The table will track the value of the dimension attributes over time and preserve the history of the data by adding new rows as the data changes. Which type of slowly changing dimension (SCD) should you use?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q44,"You have data stored in thousands of CSV files in Azure Data Lake Storage Gen2. Each file has a header row followed by a properly formatted carriage return (/ r) and line feed (/n). You are implementing a pattern that batch loads the files daily into a dedicated SQL pool in Azure Synapse Analytics by using PolyBase. You need to skip the header row when you import the files into the data warehouse. Before building the loading pattern, you need to prepare the required database objects in Azure Synapse Analytics. Which three actions should you perform in sequence?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q45,You are building an Azure Synapse Analytics dedicated SQL pool that will contain a fact table for transactions from the first half of the year 2020. You need to ensure that the table meets the following requirements: c® Minimizes the processing time to delete data that is older than 10 years c® Minimizes the I/O for queries that use year-to-date values How should you complete the Transact-SQL statement?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q46,"You are designing a data table in Azure Table Storage for optimal performance when handling a large number of read requests and a much smaller number of write requests. As part of your design preparation, you have a list of the most common queries to expect for the table. Most queries will be point queries, with exact matches for the partition and row of the desired item. There will be row range scan queries, which include an exact match for the item partition and a partial match for the item row. Almost all queries include two key properties, a group ID, which corresponds to many items, and an item ID, which is specific to one item. With this information, which of the following design choices is optimal for your Azure Storage table? . Use the group ID as the partition key and item ID as the row key . Use the item ID as the partition key and the group ID as the row key . Concatenate the group ID and item ID into a composite partition key, and leave an empty string as the row key","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q47,"You are performing exploratory analysis of the bus fare data in an Azure Data Lake Storage Gen2 account by using an Azure Synapse Analytics serverless SQL pool. You execute the Transact-SQL query shown in the following exhibit. SELECT payment_type, SUM(fare_amount) AS fare_total FROM OPENROWSET ( BULK ‘csv/busfare/tripdata_2020*.csv’, DATA_SOURCE = ‘BusData’, FORMAT = ‘CSV’, PARSER_VERSION = ‘2.0’, FIRSTROW = 2 What do the query results include?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q48,"You use PySpark in Azure Databricks to parse the following JSON input. “persons”: [ . a { You need to output the data in the following tabular format. “name” :""Keith”, age” :30, “dogs”: [“Fido”, “Fluffy” “name” :”Donna”, wage” :46, How should you complete the PySpark code?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q49,"You are designing an application that will store petabytes of medical imaging data. When the data is first created, the data will be accessed frequently during the first week. After one month, the data must be accessible within 30 seconds, but files will be accessed infrequently. After one year, the data will be accessed infrequently but must be accessible within five minutes. You need to select a storage strategy for the data. The solution must minimize costs. Which storage tier should you use for each time frame?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q50,"A Data Engineer is designing a dimensional model data solution. Within this solution, slowly changing dimension (SCD) is used to effectively manage the change of dimension members. When there is a change detected in the source, the dimension table data should be overwritten with the latest value without any record of the previous value. Which SCD type will be most suitable here? Type 1 Type 2 Type 3 None of the listed types are suitable. SOm,r ","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q51,You have an Azure Synapse Analytics Apache Spark pool named Pool1. You plan to load JSON files from an Azure Data Lake Storage Gen2 container into the tables in Pool1. The structure and data types vary by file. You need to load the files into the tables. The solution must maintain the source data types. What should you do?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q52,"You have the following Azure Stream Analytics query. For each of the following statements, select Yes if the statement is true. Otherwise, select No. NOTE: Each correct selection is worth one point. Answer Area Statements Yes The query combines two streams of partitioned data. [e) The stream scheme key and count must match the output scheme. roy Providing 60 streaming units will optimize the performance of the query. O- oo 0 WITH stepi AS (SELECT * FROM inputi PARTITION BY StateID INTO 10), step2 AS (SELECT * FROM input2 PARTITION BY StateID INTO 10) SELECT * INTO output FROM stepi PARTITION BY StateID UNION SELECT * INTO output FROM step2 PARTITION BY StateID ","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q53,"You are building a database in an Azure Synapse Analytics serverless SQL pool. You have data stored in Parquet files in an Azure Data Lake Storege Gen2 container. Records are structured as shown in the following sample. { ""id"": 123, “address_housenumber"": ""19c"", “address_line"": ""Memory Lane"", “applicant1_name"" “applicant2_name"" The records contain two applicants at most. You need to build a table that includes only the address fields. How should you complete the Transact-SQL statement?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q54,"You have Azure Data Lake Storage which contains a very large amount of data. There are various pipelines triggered for analyzing the data that arrived that day, week, and month, and the ADLS store needs a data archival policy that meets the following requirements: +New data will be requested and updated thousands of times in the first 30 days. After 30 days, data will be accessed occasionally and should be available immediately. After 180 days data will be accessed very infrequently if at all. Which actions should be taken to meet these requirements in the most cost-effective way? (Choose 2 answers)","A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q55,You have an Azure Synapse Analytics dedicated SQL pool named Pool! and an Azure Data Lake Storage Gen2 account named Account1. You plan to access the files in Account by using an external table. You need to create a data source in Pool1 that you can reference when you create the external table. How should you complete the Transact-SQL statement?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
